Localization,En,Ru,De,Fr,Pl,Kr,Pt-Br,Spa,Swe,Jp,Cn,Fa
DontHaveMoneyForHelmet,Insufficient funds to purchase a helmet,Недостаточно денег для покупки шлема,Du hast nicht genug Geld für einen Helm,Vous n'avez pas assez d'argent pour acheter un casque,Nie masz wystarczających pieniędzy aby kupić hełm,당신은 헬멧을 사기에 충분한 돈을 가지고 있지 않다,Você não tem dinheiro suficiente para comprar capacete,No tienes suficientes fondos para comprar un casco,Insufficient funds to purchase helmet,ヘルメットを買うための金が足りない,購買頭盔資金不足,Insufficient funds to purchase a helmet
,,,,,,,,,,,,
InternalBleeding,Internal bleeding,Внутреннее кровотечение,Innere Blutungen,Hémorragie interne,Krwawienie wewnętrzne,내부 출혈,Sangramento interno,Hemorragia interna,Internal bleeding,内出血,內出血,Internal bleeding
SeveredArtery,Punctured artery,Разорванная артерия,Verletzte Arterie,Artère touchée,Przecięta tętnica,절단 동맥,Artéria cortada,Arteria pinchada,Punctured artery,穿刺動脈,動脈穿刺,Punctured artery
SeveredArteryMessage,An artery was severed,Артерия была повреждена,Arterie wurde verletzt!,L'artère a été touchée,Masz przeciętą tętnice!,동맥이 절단되었다!,Artéria foi cortada!,¡Una arteria se ha roto!,An artery was severed!,動脈が切れた,動脈斷裂,An artery was severed
,,,,,,,,,,,,
PlayerNervesCritMessage,You can't feel your limbs,Вы не чувствуете свои ноги и руки,Es scheint als könntest du deine Arme und Beine nicht mehr kontrollieren,Vous ne maîtrisez plus vos jambes ni vos bras,Czujesz jak tracisz kontrole nad rękami i nogami,당신은  더 이상 팔과 다리를 움직일수 없다는걸 느꼇다,Você sente que não pode mais controlar seus braços e pernas,Spinal/nervous system damage detected,Spinal/nervous system damage detected,脊髄または神経系の損傷を検出,脊髓神經受損,You can't feel your limbs
ManNervesCritMessage,He looks like his spine was damaged,Похоже у него поврежден позвоночник,Er sieht aus als ob sein Rückgrat verletzt wurde,On dirait que sa colonne vertébrale a été touchée,Wygląda na to że nerwy mu padły,그의 척추가 손상된 것처럼 보인다,Ele parece está com sua espinha foi danificada,He looks like his spine was damaged,He looks like his spine was damaged,彼の背骨は損傷したようだ,他脊髓神經受損,He looks like his spine was damaged
WomanNervesCritMessage,She looks like her spine was damaged,Похоже у нее поврежден позвоночник,Sie sieht aus als ob ihr Rückgrat verletzt wurde,On dirait que sa colonne vertébrale a été touchée,Wygląda na to że nerwy jej padły,그녀의 척추가 손상된 것처럼 보인다,Ela parece está com sua espinha foi danificada,She looks like her spine was damaged,She looks like her spine was damaged,彼女の背骨は損傷したようだ,她脊髓神經受損,She looks like her spine was damaged
,,,,,,,,,,,,
PlayerHeartCritMessage,You feel like life is leaving you,Вы чувствуете что жизнь покидает вас,Du fühlst heftigen Schmerz in deiner Brust,Vous resentez une terrible douleur dans votre torse,Czyjesz olbrzymi ból w klatce piersiowej,당신은 끔찍한 통증을 가슴에서 느꼇다,Você sente uma dor terrível no seu peito,Damage to circulatory system detected,Damage to circulatory system detected,循環器系の損傷を検出,循環系統損傷,You feel like life is leaving you
ManHeartCritMessage,He appears to be in terrible chest pain,Он кашляет кровью,Er hustet Blut,Il crache du sang,On kaszle krwią,그는 피를 기침한다,Ele está tossindo sangue,He appears to be in terrible chest pain,He appears to be in terrible chest pain,彼はひどい胸痛にあるようだ,他正忍受著劇烈胸痛,He appears to be in terrible chest pain
WomanHeartCritMessage,She appears to be in terrible chest pain,Она кашляет кровью,Sie hustet Blut,Elle crache du sang,Ona kaszle krwią,그녀는 피를 기침한다,Ela está tossindo sangue,She appears to be in terrible chest pain,She appears to be in terrible chest pain,彼女はひどい胸痛にあるようだ,她正忍受著劇烈胸痛,She appears to be in terrible chest pain
,,,,,,,,,,,,
PlayerLungsCritMessage,You cough up blood,Вы кашлеете кровью,Du kannst nur noch schwer atmen,Vous avez du mal à repsirer,Trudnio ci się oddycha,당신이 숨을 쉬는 것은 매우 어렵다,É muito dificil voçê respirar,You cough up blood,You cough up blood,吐血した,你吐血了,You cough up blood
ManLungsCritMessage,He coughs up blood,Он кашляет кровью,Er hustet Blut,Il crache du sang ,On kaszle krwią,그는 피를 기침한다,Ele está tossindo sangue,He coughs up blood,He coughs up blood,彼は吐血した,他吐血了,He coughs up blood
WomanLungsCritMessage,She coughs up blood,Она кашляет кровью,Sie hustet Blut,Elle crache du sang,Ona kaszle krwią,그녀는 피를 기침한다,Ela está tossindo sangue,She coughs up blood,She coughs up blood,彼女は吐血した,她吐血了,She coughs up blood
,,,,,,,,,,,,
PlayerStomachCritMessage,You feel yourself very sick,Вас сильно тошнит,Du fühlst dich sehr schlecht,Vous vous sentez très mal,Czujesz ból żołądka,당신은 매우 아프다,Você se sente muito doente,You feel very sick,You feel very sick,とても気分が悪いようだ,你很難受,You feel very sick
ManStomachCritMessage,He looks very sick,Он выглядит будто его тошнит,Er sieht sehr schlecht aus,Il a l'air très malade,Boli go brzuch,그는 매우 아픈것 처럼 보여진다,Ele parece muito doente,He looks very sick,He looks very sick,彼はとても気分が悪いようだ,他看起來很難受,He looks very sick
WomanStomachCritMessage,She looks very sick,Она выглядит будто ее тошнит,Sie sieht sehr schlecht aus,Elle a l'air très malade,Boli ją brzuch,그녀는 매우 아픈것 처럼 보여진다,Ela parece muito doente,She looks very sick,She looks very sick,彼女はとても気分が悪いようだ,她看起來很難受,She looks very sick
,,,,,,,,,,,,
PlayerGutsCritMessage,You can see your guts,Ваш кишечник лезет наружу,Du fühlst dich sehr schlecht,Vous vous sentez très malade,Wnętrzności ci się psują,당신은 매우 아프다,Você se sente muito doente,You feel very sick,You feel very sick,とても気分が悪いようだ,你很難受,You feel very sick
ManGutsCritMessage,He looks very sick,Его кишечник лезет наружу,Er sieht sehr schlecht aus,Il a l'air très malade,Jego wnętrzności są zepsute,그는 매우 아픈것 처럼 보여진다 ,Ele parece muito doente,He looks very sick,He looks very sick,彼はとても気分が悪いようだ,他看起來很難受,He looks very sick
WomanGutsCritMessage,She looks very sick,Ее кишечник лезет наружу,Sie sieht sehr schlecht aus,Elle a l'air très malade,Jej wnętrzności są zepsute,그녀는 매우 아픈것 처럼 보여진다,Ela parece muito doente,She looks very sick,She looks very sick,彼女はとても気分が悪いようだ,她看起來很難受,She looks very sick
,,,,,,,,,,,,
PlayerArmsCritMessage,You feel awful pain in your arm,Вы чувствуете ужасную боль в руке,Sieht so aus als wäre ein Arm gebrochen,On dirait que l'os du bras est cassé,Złamałeś ręke.,팔 뼈가 부러진 것 같다,Parece que o osso do braço foi quebrado,Possible broken arm bone,Possible broken arm bone,腕が骨折した可能性がある,手臂可能骨折了,You feel awful pain in your arm
ManArmsCritMessage,His arm looks broken,Его рука выглядит плохо,Sein Arm sieht sehr schlecht aus,Son bras a l'air cassé,Złamał ręke,그의 팔의 상태가 매우 않 좋다,O braço dele parece muito ruim,His arm looks broken,His arm looks broken,彼の腕は骨折した,他的手臂看起來骨折了,His arm looks broken
WomanArmsCritMessage,Her arm looks broken,Ее рука выглядит плохо,Ihr Arm sieht sehr schlecht aus,Son bras a l'air cassé,Złamała ręke,그녀의 팔의 상태가 매우 않 좋다,O braço dela parece muito ruim,Her arm looks broken,Her arm looks broken,彼女の腕は骨折した,她的手臂看起來骨折了,Her arm looks broken
,,,,,,,,,,,,
PlayerLegsCritMessage,You feel awful pain in your leg,Вы чувствуете ужасную боль в ноге,Sieht so aus als wäre ein Bein gebrochen,On dirait que l'os de la jambe est cassé,Złamałeś nogi,다리 뼈가 부러진 것 같다,Parece que o osso da perna foi quebrado,"Possible broken, sprained or injured leg or ankle","Possible broken, sprained or injured leg or ankle",足、足首の骨折、捻挫あるいは怪我をした可能性がある,膝蓋或者腿部看起來受傷了,You feel awful pain in your leg
ManLegsCritMessage,His leg looks broken,Его нога выглядит плохо,Sein Bein sieht sehr schlecht aus,Sa jambe a l'air cassé,Złamał nogi,그의 다리의 상태가 매우 않 좋다,A perna dele parece muito ruim,His leg looks broken,His leg looks broken,彼の足は骨折した,他的腳看起來受傷了,His leg looks broken
WomanLegsCritMessage,Her leg looks broken,Ее нога выглядит плохо,Ihr Bein sieht sehr schlecht aus,Sa jambe a l'air cassé,Złamała nogi,그녀의 다리의 상태가 매우 않 좋다,A perna dela parece muito ruim,Her leg looks broken,Her leg looks broken,彼女の足は骨折した,她的腳看起來受傷了,Her leg looks broken
,,,,,,,,,,,,
UnbearablePainMessage,You lose consciousness from the overwhelming pain,У вас болевой шок! Вы теряете сознание!,Du bist im Schock und verlierst das Bewusstsein!,"Vous avez un choc de douleur, vous perdez conscience !",Boli cię zbyt mocno! Tracisz przytomność,당신은 통증 쇼크를 얻었다! 당신은 의식을 읽었다!,Você tem um choque de dor! Você perde a consciência!,You lose consciousness from overwhelming pain,You lose consciousness from overwhelming pain,圧倒的な痛みにより意識を失っている,你由於劇痛失去意識,You lose consciousness from the overwhelming pain
,,,,,,,,,,,,
AddingRange,Increasing range,Радиус добавления,Reichweite erweitert,Adding range,Zwiększono odległość,범위 추가,Adding range,Adding range,Adding range,範囲を拡大,範圍擴大,Increasing range
RemovingRange,Decreasing range,Радиус удаления,Reichweite verringert,Removing range,Zmniejszono odległość,범위 삭제,Removing range,Removing range,Removing range,範囲を縮小,範圍縮小,Decreasing range
,,,,,,,,,,,,
ThanksForUsing,Thanks for using,Спасибо за использование,Danke für die Verwendung von,Merci pour votre utilisation,Dziękuje za użycie moda!,사용해 주어서 고맙다,Obrigado por usar,Thanks for using,Thanks for using,ご利用いただきありがとうございます,感謝使用,Thanks for using
GswStopped,GSW2 operations have ended :(,"К сожалению, GSW2 поломался, извини уж :(","GSW2 funktioniert nicht mehr, tut mir leid :(","GSW2 s'est arrêté, désolé :(","GSW2 przestało działać, Przepraszamy :(","GSW2는 멈추었다, 미안하다 :(","GSW2 parou, desculpe :(",GSW2 operations have ended,GSW2 operations have ended,GSW2 operations have ended,GSW2 operations have ended,"GSW2 operations have ended :( Please, send logs to SH42913"
GswIsPaused,GSW2 is paused,Работа GSW2 приостановлена,GSW2 ist pausiert,GSW2 est en pause,GSW2 zostało zatrzymane,GSW2가 중지되었다,O GSW2 está em pausa,GSW2 is paused,GSW2 is paused,GSW2 が中断,GSW2 is paused,GSW2 is paused
GswIsWorking,GSW2 is working,Работа GSW2 продолжается,GSW2 ist bereit,GSW2 fonctionne,GSW2 działa,GSW2가 작둥중이다,GSW2 está funcionando,GSW2 is working,GSW2 is working,GSW2 が起動中,GSW2 is working,GSW2 is working
,,,,,,,,,,,,
AlreadyBandaging,You're already bandaging yourself,Вы уже перевязываетесь,Du bist bereits verbunden,Vous appliquez déjà un bandage,Właśnie się bandażujesz,당신은 이미 붕대를 감고 있다,Você já está enfaixando,You're already bandaging,You're already bandaging,すでに包帯をしている,你已經在包扎了,You're already bandaging yourself
DontHaveMoneyForBandage,You don't have enough money for a bandage,Недостаточно денег на перевязку,Du hast nicht genug Geld für Verband,Vous n'avez pas assez d'argent pour acheter un bandage,Nie masz wystarczającej ilości pieniędzy na opatrunek,당신은 붕대를 사기에 충분한 돈을 가지고 있지 않다,Você não tem dinheiro suficiente para bandagem,You don't have enough money for a bandage,You don't have enough money for a bandage,包帯を買うための資金がない,你沒錢買繃帶了,You don't have enough money for a bandage
YouTryToBandage,You try to bandage yourself. You need to stand still for {0} seconds!,Вы пробуете перевязаться. Нужно постоять без движения {0} секунд!,Du versuchst dich selbst zu verbinden. Du musst für {0} sekunden stillstehen!,Vous essayez de vous soigner. Vous ne devez pas bouger pendant {0} secondes !,Próbujesz zabandażować się samemu. Nie ruszaj się przez {0} sekund!,당신은 붕대 감기를 시도했다. 당신은 {0} 초 동안 가만히 서있어야 한다,Você tenta se enfaixar. Você precisa ficar parado por {0} segundos!,You try to bandage self. You need to stand still for {0} seconds!,You try to bandage self. You need to stand still for {0} seconds!,包帯を巻こうとしている 継続するには {0} 秒静止する必要がある,你嘗試著給自己包扎，你需要靜止 {0} 秒！,You try to bandage yourself. You need to stand still for {0} seconds!
BandageFailed,Bandaging has failed. You need to stand still to apply a bandage!,Перевязка не удалась. Нужно стоять без движения!,Verbinden schlug fehl. Du must stillstehen zum verbinden!,Vous n'avez pas réussi à vous mettre un bandage. Vous ne devez pas bouger pour appliquer un bandage !,Bandażowanie nie udało się. Podczas nakładania opatrunku nie ruszaj się!,붕대 감기가 실패했다 붕대를 감을때 까지 서있어야 한다,A bandagem está com falha. Você precisa ficar parado para aplicar bandagem!,Bandaging is failed. You need to stand still for apply a bandage!,Bandaging is failed. You need to stand still for apply a bandage!,包帯を巻けなかった、巻くために静止する必要がある,包扎失敗，你需要靜止不動！,Bandaging has failed. You need to stand still to apply a bandage!
BandageSuccess,You applied a bandage to {0},Вы наложили бинт на {0},Du hast {0} verbunden,Vous avez appliqué un bandage à {0},Założyłeś bandaż na {0},당신은 {0} 에 붕대를 감았다,Você aplicou bandagem em {0},You applied bandage to {0},You applied bandage to {0},包帯を {0} に使った,你在 {0} 應用繃帶,You applied a bandage to {0}
ArmorDestroyed,Your armor falls apart,Ваш бронежилет развалился на куски,Deine Rüstung ist kaputt,Votre blindage tombe en morceaux,Twoja zbroja została zniszczona!,당신의 갑옷이 떨어졌다,Sua armadura quebrou!,Your armor falls apart,Your armor falls apart,防弾ベストがバラバラになった,你的防彈衣分崩離析,Your armor falls apart
PainShockDeath,You have died of shock,Вы погибли от болевого шока,Du bist an einem Schock gestorben,Vous êtes mort du choc de douleur,Umarłeś z powodu nadmiaru bólu (Wstrząs bólowy),당신은 통증 때문에 죽었다,Você morreu com um choque de dor,You have died of shock,You have died of shock,衝撃により死んだ,你死於休克,You have died of shock
,,,,,,,,,,,,
TranslationAuthor,"SH42913, sob",SH42913,gand,JaminFR,MicroPanda123,kim GI,AwesomeSmile,,,Ranshiine,Kwansy,